ano,sigla_uf,meta_pct,indicador_pct,origem_meta,origem_indicador,fonte
2028,ES,76.6,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,ES,78.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,ES,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,RJ,,52.0,,INEP_PUBLICADO,INEP_MEC
2024,RJ,56.0,55.3,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,RJ,60.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,RJ,64.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,RJ,68.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,RJ,72.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,RJ,76.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,RJ,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,SP,,52.0,,INEP_PUBLICADO,INEP_MEC
2024,SP,56.0,58.1,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,SP,60.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,SP,64.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,SP,68.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,SP,72.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,SP,76.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,SP,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,PR,,73.0,,INEP_PUBLICADO,INEP_MEC
2024,PR,74.0,70.4,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,PR,75.0,80.0,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2026,PR,76.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,PR,77.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,PR,78.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,PR,79.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,PR,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,SC,,,,NAO_COLETADO,INEP_MEC
2024,SC,61.7,62.0,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,SC,64.8,59.0,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2026,SC,67.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,SC,70.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,SC,73.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,SC,77.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,SC,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,RS,,63.4,,INEP_PUBLICADO,INEP_MEC
2024,RS,65.8,44.7,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,RS,68.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,RS,70.5,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,RS,72.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,RS,75.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,RS,77.6,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,RS,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,MS,,,,NAO_COLETADO,INEP_MEC
2024,MS,56.5,55.9,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,MS,60.4,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,MS,64.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,MS,68.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,MS,72.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,MS,76.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,MS,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,MT,,,,NAO_COLETADO,INEP_MEC
2024,MT,60.5,60.6,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,MT,63.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,MT,67.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,MT,70.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,MT,73.5,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,MT,76.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,MT,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,GO,,,,NAO_COLETADO,INEP_MEC
2024,GO,70.9,72.7,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,GO,72.4,80.0,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2026,GO,73.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,GO,75.5,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,GO,77.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,GO,78.5,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,GO,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,DF,,,,NAO_COLETADO,INEP_MEC
2024,DF,59.3,59.1,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,DF,62.7,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,DF,66.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,DF,69.6,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,DF,73.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,DF,76.5,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,DF,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
